vendor,name,dlcode,mgmt_code,lower,upper
クラフトバンク,初期設定（クラフトバンクオフィス プロフェッショナルプラン）,DL07-0000070,初期設定（クラフトバンクオフィス プロフェッショナルプラン）,1200000,1800000
クラフトバンク,初期設定（クラフトバンクオフィス スタンダードプラン）,DL07-0000036,初期設定（クラフトバンクオフィス スタンダードプラン）,600000,1200000
クラフトバンク,導入コンサルティング活用コンサルティング（クラフトバンクオフィス プロフェッショナルプラン,DL07-0001646,導入コンサルティング活用コンサルティング（クラフトバンクオフィス プロフェッショナルプラン,1000000,1805000
クラフトバンク,導入コンサルティング活用コンサルティング（プロフェッショナルプラン）,DL07-0004098,導入コンサルティング活用コンサルティング（プロフェッショナルプラン）,1000000,1920000
クラフトバンクコンソーシアム,★導入コンサルティング活用コンサルティング（クラフトバンクオフィス スタンダードプラン）,DL07-0001647,導入コンサルティング活用コンサルティング（クラフトバンクオフィス スタンダードプラン）,600000,1205000
クラフトバンクコンソーシアム,★導入コンサルティング活用コンサルティング（クラフトバンクオフィス プロフェッショナルプラン,DL07-0001648,導入コンサルティング活用コンサルティング（クラフトバンクオフィス プロフェッショナルプラン,1000000,1805000
クラフトバンクコンソーシアム,★初期設定（クラフトバンクオフィス プロフェッショナルプラン）,DL07-0000075,初期設定（クラフトバンクオフィス プロフェッショナルプラン）,1200000,1800000
クラフトバンクコンソーシアム,★初期設定（クラフトバンクオフィス スタンダードプラン）,DL07-0000044,初期設定（クラフトバンクオフィス スタンダードプラン）,600000,1200000
クラフトバンクコンソーシアム,★クラフトバンクオフィススタンダードプラン,DL06-0013205-001,1,600000,1200000
クラフトバンクコンソーシアム,★導入コンサルティング活用コンサルティング（スタンダードプラン）,DL07-0004102,導入コンサルティング活用コンサルティング（スタンダードプラン）,600000,1610000
クラフトバンクコンソーシアム,★導入コンサルティング（クラフトバンクオフィス プロフェッショナルプラン）,DL07-0000073,導入コンサルティング（クラフトバンクオフィス プロフェッショナルプラン）,800000,1600000
クラフトバンクコンソーシアム,★導入コンサルティング（クラフトバンクオフィススタンダードプラン）,DL07-0000042,導入コンサルティング（クラフトバンクオフィススタンダードプラン）,400000,800000
クラフトバンクコンソーシアム,★クラフトバンクオフィス プロフェッショナルプラン,DL06-0024445-001,2,1080000,2160000
クラフトバンクコンソーシアム,★クラフトバンクオフィス エンタープライズプラン,DL06-0024554-001,3,1350000,2700000
クラフトバンクコンソーシアム,★導入コンサルティング活用コンサルティング（プロフェッショナルプラン）,DL07-0004103,導入コンサルティング活用コンサルティング（プロフェッショナルプラン）,1000000,1920000
ピスケス,着信ポップアップCTI,DL06-0034655-001,PSA003,108000,120000
ピスケス,LINEコネクト,DL06-0033682-001,PLINE,64000,80000
ピスケス,ピスケスアポ,DL05-0024072-002,piscesapo2024,408000,480000
ピスケス,SMS,DL06-0034634-001,PKA002,64000,80000
いろはな,irohana visa ラージ,DL07-0019031,visa_l,597600,597600
いろはな,irohana match,DL07-0019032,match,357600,477600
いろはな,irohana visa スモール,DL07-0014825,visa_s,357600,357600
いろはな,irohana visa スタンダード,DL07-0019029,visa_m,477600,477600
いろはな,irohana visa ラージ導入設定等,DL07-0020470,導入設定等_visa_l,50000,150000
いろはな,irohana study スモール,DL07-0024780,study_s,237600,357600
いろはな,irohana 導入コンサルティング等,DL07-0019039,導入コンサルティング等,200000,200000
いろはな,irohana match導入設定等,DL07-0024779,導入設定等_match,50000,150000
いろはな,irohana visa スタンダード導入設定等,DL07-0020466,導入設定等_visa_m,50000,150000
いろはな,irohana visa スモール導入設定等,DL07-0019034,導入設定等_visa_s,50000,150000
いろはな,irohana study スモール導入設定等,DL07-0028059,導入設定等_study_s,50000,150000
いろはな,irohana study スタンダード導入設定等,DL07-0028061,導入設定等_study_m,50000,150000
いろはな,irohana study スタンダード,DL07-0024781,study_m,357600,477600
いろはな,irohana study ラージ,DL07-0027397,study_l,657600,777600
